W,Age
wAP0022_d0_4A,18
wAP0035_d0_80A,18
wAP0036_d4_76A,18
wAP0026_d8_71A,21
wAP0028_d4_52A,21
wAP0024_d4_49A,23
wAP0033_d0_75A,26
wAP0025_d8_9A,26
wAP0021_d0_1A,26
wAP0030_d8_53A,29
wAP0023_d4_8A,30
wAP0032_d8_74A,30
wAP0026_d0_10A,37
wAP0033_d8_20A,37
wAP0047_d4_47A,38
wAP0041_d0_41A,38
wAP0022_d4_2A,39
wAP0029_d8_50A,39
wAP0046_d0_46A,39
wAP0045_d4_88A,40
wAP0050_d0_93A,40
wAP0030_d0_51A,41
wAP0037_d4_31A,41
wAP0043_d8_40A,41
wAP0042_d0_87A,43
wAP0042_d4_42A,43
wAP0048_d4_67A,21
wAP0038_d8_58A,21
wAP0046_d4_62A,24
wAP0054_d8_70A,24
wAP0040_d8_59A,25
wAP0049_d0_68A,25
wAP0043_d4_60A,25
wAP0049_d8_61A,28
wAP0050_d4_69A,28
wAP0047_d0_66A,28
wAP0041_d4_64A,28
wAP0031_d4_55A,28
wAP0035_d4_57A,28
wAP0021_d8_54A,29
wAP0037_d0_63A,29
wAP0034_d0_56A,30
wAP0045_d8_65A,30
wAP0051_d0_98A,38
wAP0051_d8_106A,38
wAP0052_d4_103A,38
wAP0052_d8_96A,38
wAP0054_d0_100A,38
wAP0055_d8_101A,38
wAP0057_d0_102A,38
wAP0058_d0_109A,38
wAP0058_d8_108A,38
wAP0026_d4_97A,39
wAP0059_d4_107A,39
